method,n_queries,n_candidate_rows_before,n_candidate_rows_after,candidate_reduction_pct,true_retention_pct,top1_before_pct,top1_after_pct,top5_before_pct,top5_after_pct,top10_before_pct,top10_after_pct,mean_true_abs_rt_delta,median_true_abs_rt_delta,max_true_abs_rt_delta,threshold_sec,guard_k,tau,alpha
original_msfinder_rank,85,5044,5044,0.0,100.0,47.05882352941176,47.05882352941176,70.58823529411765,70.58823529411765,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,,,,
hard_rt_filter_th30.0,85,5044,1783,64.65107057890563,71.76470588235294,47.05882352941176,45.88235294117647,70.58823529411765,62.35294117647059,82.35294117647058,64.70588235294117,24.374200164924197,18.39898313476561,92.57754225585938,30.0,,,
hard_rt_filter_th40.0,85,5044,2261,55.174464710547184,82.35294117647058,47.05882352941176,50.588235294117645,70.58823529411765,65.88235294117646,82.35294117647058,74.11764705882354,24.374200164924197,18.39898313476561,92.57754225585938,40.0,,,
hard_rt_filter_th50.0,85,5044,2672,47.02616970658208,90.58823529411765,47.05882352941176,54.11764705882353,70.58823529411765,71.76470588235294,82.35294117647058,82.35294117647058,24.374200164924197,18.39898313476561,92.57754225585938,50.0,,,
hard_rt_filter_th60.0,85,5044,2988,40.761300555114985,90.58823529411765,47.05882352941176,51.76470588235295,70.58823529411765,71.76470588235294,82.35294117647058,81.17647058823529,24.374200164924197,18.39898313476561,92.57754225585938,60.0,,,
hard_rt_filter_th70.0,85,5044,3244,35.68596352101507,92.94117647058823,47.05882352941176,51.76470588235295,70.58823529411765,71.76470588235294,82.35294117647058,81.17647058823529,24.374200164924197,18.39898313476561,92.57754225585938,70.0,,,
hard_rt_filter_th76.98,85,5044,3435,31.89928628072958,95.29411764705881,47.05882352941176,52.94117647058824,70.58823529411765,74.11764705882354,82.35294117647058,83.52941176470588,24.374200164924197,18.39898313476561,92.57754225585938,76.98,,,
hard_rt_filter_th80.0,85,5044,3491,30.789056304520223,96.47058823529412,47.05882352941176,52.94117647058824,70.58823529411765,74.11764705882354,82.35294117647058,84.70588235294117,24.374200164924197,18.39898313476561,92.57754225585938,80.0,,,
hard_rt_filter_th90.0,85,5044,3675,27.141157811260904,97.6470588235294,47.05882352941176,52.94117647058824,70.58823529411765,75.29411764705883,82.35294117647058,85.88235294117646,24.374200164924197,18.39898313476561,92.57754225585938,90.0,,,
hard_rt_filter_th100.0,85,5044,3829,24.08802537668517,100.0,47.05882352941176,52.94117647058824,70.58823529411765,76.47058823529412,82.35294117647058,85.88235294117646,24.374200164924197,18.39898313476561,92.57754225585938,100.0,,,
